,cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,paid
1569,UgwdKWbBLRNBQg8h7JB4AaABAg.AX11VlXjZzhAX17F50SAOE,???,1 month ago,@renaissanceeeeee,UClbW1nEamZro_ck46ELIU_A,0,,https://yt3.ggpht.com/3yfvqLEfDh1dFlLd1dof0RhUGNHm8fnZCqVg3jHy4gtjVXxDWxSEBpUaySfGWGontig4pwAe=s88-c-k-c0x00ffffff-no-rj,False,True,1780714519.94999,
1570,UgzuxKiAC1HvFrCl4Mt4AaABAg,Kak ferry bahas dong kekeliruan MBG,1 month ago,@bundasajah5550,UCO-ZZ1LxXHn2CCpRxBDOgaA,0,,https://yt3.ggpht.com/ytc/AIdro_kcuo9RVqskOlRXSNACwPAPlr_gUk_jEBJBrybwbFg=s88-c-k-c0x00ffffff-no-rj,False,False,1780714520.356377,
1571,UgzT3EV_wos4p05PVAF4AaABAg,dampak nya jg sampe ke bengkel mobil harga oli naik drastis bgt 30-40%,1 month ago,@maulanaazlan9680,UCNEU8iS4eiXEMMArwC1bj8A,0,,https://yt3.ggpht.com/Rc8Zk2zLMAG1Ib3DYMpTCzkXyno5I63y9hTOodwSsVmjthwqjvFmrsgARRHLrGftvtoQ8D19_Q=s88-c-k-c0x00ffffff-no-rj,False,False,1780714520.358418,
1572,UgyYSqclxJP6x8e650d4AaABAg,Naik nya dolar US apa beririsan juga dengan out flow nya modal asing di IHSG juga bang?..,1 month ago,@shofitruckingchanel264,UCI6p_ZR8qCNm5fay3M-6ZCQ,0,,https://yt3.ggpht.com/ytc/AIdro_kf4D3PNRy-m2qWn67W1vXP4hgm9cUDxEXPu9GQS7dMkX0=s88-c-k-c0x00ffffff-no-rj,False,False,1780714520.360454,
1573,UgwYeg6t70tfmREKQAx4AaABAg,"mudahin eksportir? WKWKWK bayangin lu sbg eksportir mau narik restitusi malah dipersulit, ditahan, ditolak HAHAHAHA",1 month ago,@hmdsyhroni,UCddbwdSIi86F8Oj5hF6NYDQ,0,,https://yt3.ggpht.com/zM7bGIJ7FIPp3uFLI5VO5NDTFOq61hBQm6aisP4PtyQrh9CwKHAq2gR2IiSGhUsJZm5ff4-x=s88-c-k-c0x00ffffff-no-rj,False,False,1780714520.363068,
1574,UgzF2SlGkB3NEhNVZrh4AaABAg,"Wowok:"" Sodraa sdraaassdraaa.. Sdrrrrrr",1 month ago,@IzirhomadonRhomadon,UChBoXJhjgxdO-ePKFStpesg,0,,https://yt3.ggpht.com/ytc/AIdro_l3vzlfGh_cUsmWmfgCYfl0CgR7wJ1YTo-K1BXFd5l8VL26rm1vYx6UYO5ILEs2NcGMpw=s88-c-k-c0x00ffffff-no-rj,False,False,1780714520.364767,
1575,Ugx4hxBxCjcrd4SmS9Z4AaABAg,"Kokori & winwannur, sudah tonton sampai habis? Kepala butoh pak hangpa.",1 month ago,@wf7799,UC9-7Uer4UVnYbp_PDSbgoGg,0,,https://yt3.ggpht.com/ytc/AIdro_nVui4RrEVk0lxGEg5n2v4lcwiNeOHghtVtRg2uyK-Ji4GMh_nBn7adxtbEMfTFDm6XVw=s88-c-k-c0x00ffffff-no-rj,False,False,1780714520.366538,
1576,Ugw0RLtnqtOH8jjQ2a14AaABAg,Mau dibawa kemana negara ini kalo pemerintahnya gak peka2 😩,1 month ago,@enggarsyahputra3514,UCx7Aw8ydUqxH9DW9jnknh5Q,0,,https://yt3.ggpht.com/ytc/AIdro_nNP8XOKIznMhgM4xVMIfCX2Zj-eVY794XHPY9J1lY=s88-c-k-c0x00ffffff-no-rj,False,False,1780714520.368205,
1577,UgwYbYFlTd6bXJflTNR4AaABAg,"Pantes Sri Mulyani dihancurkan karena blio berani negur Presiden klo ruang Fiskalnya udah dipinggir jurang. Purbaya, karena di gadang2kan ken banyolan dan asal omongnya TERNYATA ILMU EKONOMI PEMBANGUNAN nya CETEK. Omongannya lebih banyak gak berguna, mungkin krn gak paham, ato takut sama presiden yg akhirnya ABS. 
Catat : Belanja Pemerintah Pusat 20% dr APBN = 610 Trilyun. 
MBG = 300an Trilyunan pertahun, udah separonya 
Energi = 160 trilyun
Sisa = 150 Trilyun utk lain2.
Pantesan gak ada perkembangan ekonomi utk rakyat. Petugas MBG semakin kaya raya.
Paraaaaahhhhh.
IHSG hancuuuurrrr",1 month ago,@rabia8520,UCUM98svmCCBhKc8q0xR56tA,0,,https://yt3.ggpht.com/ytc/AIdro_lkDhfR4IQoQOti0IosPsSAEqhLLgtyGqmMmRGIpKBIdhtOTK_iy1Z_GU0MKBc9sh8dlA=s88-c-k-c0x00ffffff-no-rj,False,False,1780714520.369912,
1578,UgwkzMPI-SS11smKq2F4AaABAg,Bang lu jadi presiden aja bang gua percaya lu ❤,1 month ago,@difaPutra-j2m,UCZhJApAhZPSapCk6v5Sl2oQ,0,,https://yt3.ggpht.com/ytc/AIdro_mBN8n2zDfohBG0IahGPDujR2AtrEODsGnay9zR3XGDMgt-y3h3YwshosvpNFJg6FX5Zw=s88-c-k-c0x00ffffff-no-rj,False,False,1780714520.371606,
